what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401859511761
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401859513543
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401859520364
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401859522612
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401859526345
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401859529708
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401859531335
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401859532297
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401859542835
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1401859551566
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401859554335
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401859555959
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1401859557854
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1401859558356
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1401859558465
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1401859558546
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1401859558628
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1401859558698
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1401859561155
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1401859563946
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401859563946
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401859570180
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401859572427
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401859581581
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401859589171
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401859593406
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401859594991
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401859595679
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401859606619
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401859620382
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401859621403
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401859624075
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401859625383
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401859626575
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401859627955
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401859648274
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401859650046
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401859650829
